17:55:57, уставка 50.0-57.0, текущая темп. 50.0, охл. ВЫКЛ., нагр. ВЫКЛ.
17:55:58, уставка 50.0-57.0, текущая темп. 50.2, охл. ВЫКЛ., нагр. ВЫКЛ.
17:55:59, уставка 50.0-57.0, текущая темп. 50.2, охл. ВЫКЛ., нагр. ВЫКЛ.
17:56:00, уставка 50.0-57.0, текущая темп. 50.2, охл. ВЫКЛ., нагр. ВЫКЛ.
17:56:01, уставка 50.0-57.0, текущая темп. 50.0, охл. ВЫКЛ., нагр. ВЫКЛ.
17:56:02, уставка 50.0-57.0, текущая темп. 50.0, охл. ВЫКЛ., нагр. ВЫКЛ.
17:56:03, уставка 50.0-57.0, текущая темп. 50.0, охл. ВЫКЛ., нагр. ВЫКЛ.
17:56:04, уставка 50.0-57.0, текущая темп. 49.5, охл. ВЫКЛ., нагр. ВКЛ.
17:56:05, уставка 50.0-57.0, текущая темп. 49.5, охл. ВЫКЛ., нагр. ВКЛ.
17:56:06, уставка 50.0-57.0, текущая темп. 49.5, охл. ВЫКЛ., нагр. ВКЛ.
17:56:07, уставка 50.0-57.0, текущая темп. 49.1, охл. ВЫКЛ., нагр. ВКЛ.
17:56:08, уставка 50.0-57.0, текущая темп. 49.1, охл. ВЫКЛ., нагр. ВКЛ.
17:56:09, уставка 50.0-57.0, текущая темп. 49.1, охл. ВЫКЛ., нагр. ВКЛ.
17:56:10, уставка 50.0-57.0, текущая темп. 48.6, охл. ВЫКЛ., нагр. ВКЛ.
17:56:11, уставка 50.0-57.0, текущая темп. 48.6, охл. ВЫКЛ., нагр. ВКЛ.
17:56:12, уставка 50.0-57.0, текущая темп. 48.3, охл. ВЫКЛ., нагр. ВКЛ.
17:56:13, уставка 50.0-57.0, текущая темп. 48.3, охл. ВЫКЛ., нагр. ВКЛ.
17:56:14, уставка 50.0-57.0, текущая темп. 48.3, охл. ВЫКЛ., нагр. ВКЛ.
17:56:15, уставка 50.0-57.0, текущая темп. 48.1, охл. ВЫКЛ., нагр. ВКЛ.
17:56:16, уставка 50.0-57.0, текущая темп. 48.1, охл. ВЫКЛ., нагр. ВКЛ.
17:56:17, уставка 50.0-57.0, текущая темп. 48.5, охл. ВЫКЛ., нагр. ВКЛ.
17:56:18, уставка 50.0-57.0, текущая темп. 48.5, охл. ВЫКЛ., нагр. ВКЛ.
